Address,District,Beds,Baths,Longitudes,Latitudes,Price,Size,Website,Distance,Type
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924293,40.428598,1065,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-pet-friendly-available/7028681089.html,2.174828122,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924378,40.428533,950,570,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-january-4-shopping/7028682748.html,2.165588793,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924201,40.42856,1075,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-shopping-nearby-ac-heat/7013674565.html,2.1851091,Apartment
5533 Covode Street near Yeshiva Way,Squirrel Hill,1,1,-79.929134,40.431769,1015,595,https://pittsburgh.craigslist.org/apa/d/pittsburgh-shopping-nearby-ac-heat/7019500577.html,1.630866714,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.92425,40.428639,1075,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-april-1-shopping/7021348517.html,2.179482427,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.923992,40.428721,980,660,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-february-1/7026814348.html,2.207837934,Apartment
"5735 Phillips Ave, no1",Squirrel Hill,2,1,-79.923626,40.431981,1100,1100,https://pittsburgh.craigslist.org/apa/d/pittsburgh-stunning-two-bedroom-prime/7032075087.html,2.241205169,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.923971,40.428745,905,550,https://pittsburgh.craigslist.org/apa/d/pittsburgh-heat-incld-ac-hardwood/7026813610.html,2.210103003,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924024,40.428688,930,660,https://pittsburgh.craigslist.org/apa/d/pittsburgh-heat-incld-ac-hardwood/7026859591.html,2.204377891,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.92485,40.428076,905,500,https://pittsburgh.craigslist.org/apa/d/pittsburgh-separate-kitchen-pet/7028609803.html,2.114600398,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924861,40.428084,905,500,https://pittsburgh.craigslist.org/apa/d/pittsburgh-heat-included-avail-february/7028611117.html,2.113362365,Apartment
2325 - 2327 Eldridge Street - 6,Squirrel Hill,1,1,-79.9205,40.4308,1045,447,https://pittsburgh.craigslist.org/apa/d/pittsburgh-decorative-fireplace-back/7018834387.html,2.59085383,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924132,40.42859,1275,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-short-term-lease-available/7028630824.html,2.19267011,Apartment
